Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
europa-eurocopa-2020,FINAL,2020-07-11,Itália,Inglaterra,2,1,0,1,1,1
europa-eurocopa-2020,SEMIFINAIS,2020-07-07,Inglaterra,Dinamarca,2,1,1,1,1,1
europa-eurocopa-2020,SEMIFINAIS,2020-07-06,Itália,Espanha,2,1,0,0,1,1
europa-eurocopa-2020,QUARTAS DE FINAL,2020-07-03,Ucrânia,Inglaterra,0,4,0,1,,
europa-eurocopa-2020,QUARTAS DE FINAL,2020-07-03,Republica Tcheca,Dinamarca,1,2,0,2,,
europa-eurocopa-2020,QUARTAS DE FINAL,2020-07-02,Bélgica,Itália,1,2,1,2,,
europa-eurocopa-2020,QUARTAS DE FINAL,2020-07-02,Suíça,Espanha,1,2,0,1,1,1
europa-eurocopa-2020,OITAVAS DE FINAL,2020-06-29,Suécia,Ucrânia,1,2,1,1,1,1
europa-eurocopa-2020,OITAVAS DE FINAL,2020-06-29,Inglaterra,Alemanha,2,0,0,0,,
europa-eurocopa-2020,OITAVAS DE FINAL,2020-06-28,França,Suíça,3,4,0,1,3,3
europa-eurocopa-2020,OITAVAS DE FINAL,2020-06-28,Croácia,Espanha,3,5,1,1,3,3
europa-eurocopa-2020,OITAVAS DE FINAL,2020-06-27,Bélgica,Portugal,1,0,1,0,,
europa-eurocopa-2020,OITAVAS DE FINAL,2020-06-27,Países Baixos,Republica Tcheca,0,2,0,0,,
europa-eurocopa-2020,OITAVAS DE FINAL,2020-06-26,Itália,Áustria,2,1,0,0,0,0
europa-eurocopa-2020,OITAVAS DE FINAL,2020-06-26,País de Gales,Dinamarca,0,4,0,1,,
europa-eurocopa-2020,RODADA 3,2020-06-23,Alemanha,Hungria,2,2,0,1,,
europa-eurocopa-2020,RODADA 3,2020-06-23,Portugal,França,2,2,1,1,,
europa-eurocopa-2020,RODADA 3,2020-06-23,Eslováquia,Espanha,0,5,0,2,,
europa-eurocopa-2020,RODADA 3,2020-06-23,Suécia,Polônia,3,2,1,0,,
europa-eurocopa-2020,RODADA 3,2020-06-22,Croácia,Escócia,3,1,1,1,,
