Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
mundo-amistoso-internacional-2022,RODADA 1,2022-12-30,Emirados Árabes Unidos,Líbano,1,0,0,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-30,Síria,Omã,0,1,0,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-30,Iraque,Kuwait,1,0,1,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-29,Jordânia U20,Siria U20,2,0,1,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-26,Jordânia U20,Siria U20,1,2,0,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-23,Omã,Síria,2,1,1,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-23,Jordânia U23,Palestina U23,2,2,0,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-20,Jordânia U23,Palestina U23,1,0,1,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-17,Argélia,Senegal,2,2,1,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-17,Singapura,Maldivas,3,1,1,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-16,Uruguai U20,Chile U20,2,0,1,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-16,Croácia U17,Montenegro U17,3,1,0,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-15,Bolívia U20,Venezuela U20,3,3,0,2,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-15,Bolivia U17,Venezuela U17,2,3,,,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-15,Itália U16,Áustria U16,0,4,0,3,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-14,Uruguai U20,Chile U20,2,2,1,2,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-14,Argélia,Mauritânia,0,0,0,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-14,Tailândia,China Taipei,0,1,0,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-14,Malásia,Maldivas,3,0,1,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-14,Vietnã,Filipinas,1,0,0,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-14,Tailândia U23,Laos,5,0,3,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-14,Croácia U17,Montenegro U17,2,0,1,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-13,Itália U16,Áustria U16,2,1,0,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-11,Tailândia,Myanmar,6,0,4,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-11,Tailândia U23,Laos,0,1,0,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-10,Bastia,Guadalupe,1,0,1,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-09,Malásia,Camboja,4,0,3,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-09,Albânia U16,Montenegro U16,0,2,0,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-07,Montenegro U16,Albânia U16,0,1,0,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-03,Linares Unido,Chile U23,1,8,0,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-12-01,Hungria U17,Itália U17,0,1,0,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-11-30,Vietnã,Dortmund,2,1,1,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-11-29,Portugal U19,Alemanha U19,2,2,1,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-11-29,Israel U18,Alemanha U18,0,3,0,2,,
mundo-amistoso-internacional-2022,RODADA 1,2022-11-29,Hungria U17,Itália U17,1,2,1,1,,
mundo-amistoso-internacional-2022,RODADA 1,2022-11-29,Malta U19,Polônia U19,1,5,0,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-11-29,República Tcheca U18,Emirados Árabes Unidos U18,3,1,2,0,,
mundo-amistoso-internacional-2022,RODADA 1,2022-11-28,Turquia U17,Alemanha U17,2,2,1,0,,
